room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
1,4,44,1,88,128
0,1,16,1,0,60
0,1,16,2,169,55
1,2,1,1,0,369
0,2,0,1,85,110
1,1,1,1,0,155
0,3,11,1,0,100
1,1,11,1,8,150
0,1,0,1,173,500
1,1,13,1,183,100
1,2,0,1,0,220
0,2,6,1,62,42
0,3,0,2,140,80
0,14,0,1,0,85
1,5,1,1,0,170
1,7,1,2,23,110
0,7,0,1,0,50
1,3,34,4,249,115
1,4,7,1,0,110
1,7,0,1,0,270
0,1,0,2,89,60
1,2,80,1,68,115
1,2,35,2,140,188
1,2,0,2,348,390
0,2,51,1,0,55
0,1,38,1,46,110
1,1,0,1,89,750
1,1,18,1,323,179
1,2,14,1,0,200
1,2,5,3,0,180
0,14,6,1,0,33
0,2,45,1,18,44
1,3,31,1,193,97
2,2,0,1,0,46
0,2,24,1,0,85
1,2,10,1,88,135
0,2,0,1,144,49
2,2,4,1,135,70
1,1,0,1,364,1000
1,3,1,1,0,229
0,1,3,1,0,55
0,1,2,1,0,50
1,12,1,1,110,333
2,4,1,1,0,70
1,3,2,1,0,120
0,14,0,1,139,70
1,1,95,1,0,190
0,10,1,1,59,69
0,1,22,1,0,60
1,1,70,2,123,175
1,2,4,1,0,254
0,3,0,1,0,60
1,2,17,1,79,59
1,15,0,1,0,200
1,7,0,1,11,150
0,1,0,1,0,110
1,4,44,1,249,175
1,3,23,1,302,195
0,2,1,2,0,75
0,3,0,1,327,65
0,3,0,1,0,75
1,1,6,4,0,250
1,4,4,1,0,79
0,10,4,1,0,50
1,1,0,1,0,86
1,2,2,1,0,75
2,5,76,3,258,25
1,5,53,1,99,175
1,2,95,1,283,110
1,5,0,1,9,300
0,2,13,1,0,150
1,3,0,1,0,130
1,1,8,1,12,100
1,4,8,1,0,125
1,6,0,1,0,699
0,10,1,2,0,70
0,5,42,1,221,103
1,2,3,1,0,149
1,7,0,1,0,200
1,2,5,1,334,350
1,5,1,1,0,138
1,5,7,1,0,200
0,6,0,1,0,40
1,2,16,1,2,145
1,3,1,1,0,300
0,2,76,1,291,40
1,4,0,1,0,225
1,6,1,1,0,50
0,2,55,2,25,100
0,2,0,1,0,55
0,1,0,3,0,119
0,3,13,1,6,80
1,3,2,1,0,150
1,1,7,2,0,69
0,2,0,2,84,40
1,1,8,4,135,350
0,1,49,1,81,46
0,1,8,4,335,40
0,1,25,2,34,55
1,3,5,1,38,315
0,2,2,1,0,85
1,3,30,1,364,200
1,2,7,1,4,150
0,14,79,1,336,90
1,3,4,1,302,295
1,2,0,1,12,220
2,1,8,2,0,90
0,2,8,1,0,55
1,3,14,1,0,140
1,15,27,1,173,90
0,3,9,1,0,89
0,3,0,2,359,79
0,3,43,1,35,65
1,3,4,1,0,69
1,4,21,1,352,105
0,2,3,1,94,250
0,3,1,2,36,70
1,4,45,1,49,200
1,2,18,1,51,35
0,1,0,3,90,60
0,7,1,1,0,160
1,2,0,1,0,150
0,1,0,1,365,100
1,7,35,1,283,199
1,5,9,1,0,69
1,3,6,1,1,200
0,1,2,1,0,90
1,3,2,1,0,150
1,1,33,1,5,35
0,5,46,1,338,100
0,2,0,1,0,90
1,5,24,1,42,225
0,1,1,1,0,44
1,3,0,1,38,130
1,3,31,1,101,250
0,1,2,2,0,59
1,2,3,1,0,165
1,2,9,1,0,325
1,2,6,1,0,75
1,12,0,1,0,98
1,1,0,2,328,395
0,8,0,1,78,350
0,3,13,1,0,70
1,5,40,1,88,125
0,4,3,2,175,80
1,5,2,1,0,100
0,3,2,1,0,200
1,5,2,1,0,425
1,6,79,1,81,220
1,1,0,1,0,75
0,2,42,2,340,43
0,1,8,2,0,55
0,4,55,1,0,125
1,1,14,1,2,150
1,1,0,1,0,199
1,6,1,1,0,77
0,2,12,1,1,60
1,1,1,1,0,67
0,4,16,2,166,89
0,1,3,2,0,70
0,10,57,1,6,85
0,14,1,1,15,50
1,3,5,1,177,235
0,2,16,1,313,62
